"Customer Attribute","Customer Attribute"
"Please Choose Condition","Please Choose Condition"
"Order Status","Order Status"
"Duration After order is Placed","Duration After order is Placed"
"Average Order Value","Average Order Value"
"Total Sales Amount","Total Sales Amount"
"Number of Placed Orders","Number of Placed Orders"
is,is
"is not","is not"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
"is one of","is one of"
"is not one of","is not one of"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:"
"Nunber of completed Orders","Nunber of completed Orders"
"Custom Options SKU","Custom Options SKU"
"Percent Discount: Buy X get Y Free","Percent Discount: Buy X get Y Free"
"Fixed Discount:  Buy X get Y with $5 Off","Fixed Discount:  Buy X get Y with $5 Off"
"Fixed Price: Buy X get Y for $7.45","Fixed Price: Buy X get Y for $7.45"
"Percent Discount: each 2-th, 4-th, 6-th with 10% 0ff","Percent Discount: each 2-th, 4-th, 6-th with 10% 0ff"
"Fixed Discount: each 3-th, 6-th, 9-th with $10 0ff","Fixed Discount: each 3-th, 6-th, 9-th with $10 0ff"
"Fixed Price: each 5th, 10th, 15th for $67","Fixed Price: each 5th, 10th, 15th for $67"
"Percent Discount: each 1st, 3rd, 5th with 10% 0ff after 5 items added to the cart","Percent Discount: each 1st, 3rd, 5th with 10% 0ff after 5 items added to the cart"
"Fixed Discount: each 3d, 7th, 11th with $10 0ff after 5 items added to the cart","Fixed Discount: each 3d, 7th, 11th with $10 0ff after 5 items added to the cart"
"Fixed Price: each 5th, 7th, 9th for $79.90 after 5 items added to the cart","Fixed Price: each 5th, 7th, 9th for $79.90 after 5 items added to the cart"
"Fixed Price: Each 5 items for $50","Fixed Price: Each 5 items for $50"
"Percent Discount: Each 5 items with 15% off","Percent Discount: Each 5 items with 15% off"
"Percent discount for product set","Percent discount for product set"
"Fixed price for product set","Fixed price for product set"
"Percent of product price discount","Percent of product price discount"
"Fixed amount discount","Fixed amount discount"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
"Buy X get Y free (discount amount is Y)","Buy X get Y free (discount amount is Y)"
Popular,Popular
"The Cheapest, also for Buy 1 get 1 free","The Cheapest, also for Buy 1 get 1 free"
"Most Expensive","Most Expensive"
"Get $Y for each $X spent","Get $Y for each $X spent"
"Buy X Get Y (X and Y are different products)","Buy X Get Y (X and Y are different products)"
"Each N-th","Each N-th"
"Each Product After N","Each Product After N"
"Each Group of N","Each Group of N"
"Product Set","Product Set"
"Price (Special Price if Set)","Price (Special Price if Set)"
"Price After Previous Discount(s)","Price After Previous Discount(s)"
"Original Price","Original Price"
"As Default","As Default"
Yes,Yes
No,No
"Skip If Discounted","Skip If Discounted"
Active,Active
Inactive,Inactive
"Purchase History","Purchase History"
"Orders Subselection","Orders Subselection"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Discount Amount","Discount Amount"
"Buy N Products","Buy N Products"
"Number of Products with Discount","Number of Products with Discount"
"Discount Amount (in %)","Discount Amount (in %)"
"Number of X Products","Number of X Products"
"Each Product (step)","Each Product (step)"
Webkuls,Webkuls
"Special Promotions","Special Promotions"
General,General
"Check Special Option Values","Check Special Option Values"
"Skip Settings","Skip Settings"
"Skip Items With Special Price","Skip Items With Special Price"
"Skip Configurable Items if child Special Price","Skip Configurable Items if child Special Price"
"Skip Items with Tier Price","Skip Items with Tier Price"
"Cart Price Rule","Cart Price Rule"
Back,Back
"Currently Active","Currently Active"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
Description,Description
Websites,Websites
"Customer Groups","Customer Groups"
Coupon,Coupon
"Coupon Code","Coupon Code"
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Use Auto Generation","Use Auto Generation"
"Uses per Coupon","Uses per Coupon"
"Usage limit enforced for logged in customers only.","Usage limit enforced for logged in customers only."
"Uses per Customer","Uses per Customer"
From,From
To,To
Priority,Priority
"Public In RSS Feed","Public In RSS Feed"
Conditions,Conditions
Actions,Actions
Apply,Apply
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"Number of Y Products","Number of Y Products"
"Calculate Discount Based On","Calculate Discount Based On"
"Max Amount of Discount","Max Amount of Discount"
"After N","After N"
"Skip Items with Special Price","Skip Items with Special Price"
"Discount amount is applied to subtotal only","Discount amount is applied to subtotal only"
"Discount amount is applied to subtotal and shipping amount separately","Discount amount is applied to subtotal and shipping amount separately"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Discard subsequent rules","Discard subsequent rules"
"Enter the category ids seperated by comma for Y products. Ex : 12,75","Enter the category ids seperated by comma for Y products. Ex : 12,75"
"Promo Categories","Promo Categories"
"Enter Y products separated by comma.","Enter Y products separated by comma."
"Promo SKU","Promo SKU"
Labels,Labels
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Manage Coupon Codes","Manage Coupon Codes"
